Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-09-01,4255.226268,3713.423471,7036.568293,7800.086809,8884.792153,7359.730278,6116.051857,5687.448529,4646.706331,6918.619934,3266.678647,7181.142159,4188.855626,2.692760785
2017-09-02,3793.818061,3328.494535,7084.187448,7799.144963,8978.59436,7385.308844,6362.382524,5871.837758,4645.278649,6993.955983,3373.691235,7298.633479,4119.742464,2.753821303
2017-09-03,3294.375818,2916.242807,7081.312486,7798.018556,9318.971884,7359.094132,6583.745572,6065.98644,4643.366878,6996.612357,3488.323668,7377.194549,4134.55897,2.685225527
2017-09-04,2885.87595,2593.473176,7080.431528,7797.935562,9493.317058,7374.794833,6815.583848,6155.869437,4643.446417,6998.030296,3685.792576,7373.335565,4169.819038,2.70653649
2017-09-05,2828.767387,2607.084359,6810.892192,7786.390474,9622.887456,7462.755385,6822.342715,6091.711688,4643.530978,6994.307315,3882.945584,7369.140917,4189.721829,2.675689287
2017-09-06,3281.013851,3020.87367,6478.746054,7772.575331,9737.15975,7344.655771,6787.378693,5924.534895,4642.648618,6994.38475,3918.254417,7359.027727,4077.565617,2.654067305
2017-09-07,4793.291522,3948.130493,5786.969856,7116.527225,9845.244779,7282.340686,6934.104248,5880.286009,4759.58607,7020.257771,3842.120452,7337.283719,4097.276916,2.681826106
2017-09-08,6726.017158,5158.962676,4939.557619,6246.348107,9924.770107,7446.539901,6917.527513,5862.410933,4957.00231,7005.410601,3857.094345,7211.487261,4214.096876,2.654493897
2017-09-09,7102.090125,5263.794329,4685.474492,5968.525811,9920.384964,7352.318647,6915.615774,5858.709884,5049.294864,7044.174589,3953.902909,7035.093102,4230.324779,2.648379834
2017-09-10,6880.708255,4990.584667,5098.69754,6428.58453,9462.144594,7326.757698,6908.694691,5930.756135,5061.844191,7112.322472,3958.342436,7123.810795,4308.811423,2.726814328
2017-09-11,6538.436053,4664.627051,5963.926886,7413.122097,8601.022242,7538.75734,6901.528914,6289.767611,5062.527944,7121.960403,3958.444836,7283.351212,4313.282108,2.688657356
2017-09-12,5809.567367,3986.338226,6394.328954,7893.710298,8111.801136,7668.959403,7050.523701,6935.495802,5063.472471,7150.520883,3958.272277,7428.635207,4321.346093,2.882342851
2017-09-13,5547.709365,3783.18995,6428.594558,7926.21258,8113.967996,7689.197568,7171.329006,7242.251448,5073.096116,7159.980797,3958.204099,7552.281606,4352.315463,2.741786757
